"keys","en","uk"
"loc_keys","english","ukrainian"
"LANGUAGE","English","Ukrainian"
"LANGUAGE_EN","English","Англійська"
"LANGUAGE_FR","Français","Французька"
"LANGUAGE_ZH","中文","Китайська"
"LANGUAGE_JA","日本語","Японська"
"LANGUAGE_KO","한국어","Корейська"
"LANGUAGE_RU","Русский язык","Москальська"
"LANGUAGE_PL","Polski","Польська"
"LANGUAGE_ES","Español","Іспанська"
"LANGUAGE_PT","Português","Португальська"
"LANGUAGE_DE","Deutsch","Німецька"
"LANGUAGE_ZH_TW","繁体中文","Традиційна китайська"
"LANGUAGE_TR","Türk","Турецька"
"LANGUAGE_IT","Italiano","Італійська"
"LANGUAGE_UK","Українська","Українська"
"MENU_QUIT","Quit","Вийти"
"MENU_GRAPHICS","Graphics","Графіка"
"MENU_GAMEPLAY","Gameplay","Ігролад"
"MENU_ACCESSIBILITY","Accessibility","Доступність"
"MENU_RETURN_MAIN","Return to Main Menu","Повернутися в меню"
"MENU_RETURN_MAIN_QUESTION","Return to Main Menu?","Повернутися до головного меню?"
"MENU_LANGUAGE","Language","Мова"
"MENU_BACK","Back","Назад"
"MENU_NO","No","Ніт"
"MENU_YES","Yes","Так"
"MENU_OPTIONS","Options","Налаштування"
"MENU_START","Start","Грати"
"MENU_COMMUNITY","Community","Спільнота"
"MENU_AUDIO","Audio","Аудіо"
"MENU_RESUME","Resume","Продовжити"
"MENU_GO","Go","Погнали"
"MENU_BUY","Buy","Купити"
"MENU_SHOP","Shop","Магазин"
"MENU_CREDITS","Credits","Автори"
"MENU_NEWSLETTER","Newsletter","Газета"
"MENU_MORE_GAMES","More Games","Більше ігор"
"MENU_PROGRESS","Progress","Прогрес"
"MENU_TAKE","Take","Взяти"
"MENU_DISCARD","Discard","Викинути"
"MENU_CHOOSE","Choose","Вибрати"
"MENU_RECYCLE","Recycle","Переробити"
"MENU_COMBINE","Combine","Об'єднати"
"MENU_MUSIC","Music","Музика"
"MENU_SOUND","Sound","Звуки"
"MENU_MASTER","Master","Загальна гучність"
"MENU_CANCEL","Cancel","Скасувати"
"MENU_VIDEO","Video","Відео"
"MENU_RESTART","Restart","Перезапустити"
"MENU_RETRY","Retry","Спробувати ще"
"MENU_NEW_RUN","New Run","Новий забіг"
"MENU_RESTART_QUESTION","Restart the run?","Перезапустити забіг?"
"MENU_LOCK","Lock","Закріпити"
"MUTATION","Mutation","Мутація"
"WAVE","Wave {0}","Хвиля {0}"
"LEVEL_UP","Level up!","Рівень підвищено!"
"REROLL","Reroll","Перетосувати"
"ITEMS","Items","Предмети"
"WEAPONS","Weapons","Зброя"
"STATS","Stats","Характеристики"
"RUN_LOST","Run Lost","Поразка"
"RUN_WON","Run Won","Перемога"
"RUN_STATS","Run Stats","Статистика забігу"
"CHALLENGES_COMPLETED","Challenges Completed","Випробування виконані"
"CHARACTER_SELECTION","Character Selection","Вибір персонажа"
"WEAPON_SELECTION","Weapon Selection","Вибір зброї"
"DIFFICULTY_SELECTION","Difficulty Selection","Вибір складності"
"RANDOM","Random","Випадкове"
"WISHLIST","Wishlist","В бажане"
"NB_WEAPONS","{0} weapons","{0} зброї"
"NEW_ENDLESS_WAVE_HIGH_SCORE","New high score! You survived wave {0} on {1}{2} with this character. (endless mode)","Новий рекорд! Ви пережили хвилю {0} на {1}{2} за цього персонажа. (Нескінченний режим)"
"MENU_OPTIONS_GRAPHICS","Graphics Options","Налаштування графіки"
"MENU_OPTIONS_MUSIC_VOLUME","Music volume","Гучність музики"
"MENU_OPTIONS_RESOLUTION","Resolution","Роздільність"
"MENU_OPTIONS_SFX_VOLUME","Sound effect volume","Гучність звукових ефектів"
"MENU_OPTIONS_SOUND","Sound Options","Налаштування звуку"
"MENU_OPTIONS_WINDOWED","Windowed","У вікні"
"MENU_OPTIONS_FULLSCREEN","Fullscreen","На весь екран"
"MENU_OPTIONS_CONTROLS","Controls","Керування"
"MENU_OPTIONS_SOUND_VOLUME","Volume","Гучність"
"MENU_OPTIONS_SCREENSHAKE","Screenshake","Трясіння екрана"
"MENU_OPTIONS_MOUSE_ONLY","Mouse Only","Тільки миша"
"MENU_OPTIONS_MANUAL_AIM","Manual Aim","Ручне прицілювання"
"MENU_OPTIONS_VISUAL_EFFECTS","Visual Effects","Візуальні ефекти"
"MENU_DAMAGE_DISPLAY","Damage Display","Відображення пошкоджень"
"MENU_CHAR_HIGHLIGHTING","Character Highlighting","Підсвічування персонажа"
"MENU_WEAPON_HIGHLIGHTING","Weapons Highlighting","Підсвічування зброї"
"MENU_FONT_SIZE","Font Size","Розмір шрифту"
"MENU_BACKGROUND","Background","Тло"
"MENU_HP_BAR_ON_CHAR","HP bar on character","Полоска здоров'я на персонажі"
"REWARD","Reward","Нагорода"
"TIER_COMMON","Common","Звичайне"
"TIER_UNCOMMON","Uncommon","Незвичайне"
"TIER_RARE","Rare","Рідкісне"
"TIER_LEGENDARY","Legendary","Легендарне"
"NO_RECORDS_YET","None yet","Поки немає"
"RECORDS","Records","Рекорди"
"MAX_DIFFICULTY_BEATEN","Max difficulty beaten","Макс. складність пройдена"
"MAX_ENDLESS_WAVE_BEATEN","Endless max wave","Макс. хвиль в нескінченному"
"DIFFICULTY","Difficulty","Складність"
"MATERIALS","Materials","Матеріали"
"WAVE_COMPLETED","Wave Completed!","Хвиля завершена!"
"ITEM_FOUND","Item found!","Знайдено предмет!"
"CATEGORY_ITEM","Item","Предмет"
"CATEGORY_WEAPON","Weapon","Зброя"
"DAMAGE_FORMATTED","{0}: {1}","{0}: {1}"
"RANGE_FORMATTED","{0}: {1} ({2})","{0}: {1} ({2})"
"STAT_FORMATTED","{0}: {1}","{0}: {1}"
"PIERCING_FORMATTED","{0}: {1} (-{2}% damage)","{0}: {1} (-{2}% шкоди)"
"COOLDOWN","Cooldown","Перезаряджання"
"DEALS_DAMAGE_ON_RETURN","Also deals damage on return","Завдає шкоди у відповідь"
"ALTERNATES_ATTACK_TYPE","Alternates between thrusting and sweeping attacks","Колить та рубає"
"CRITICAL_FORMATTED","{0}: {1} ({2}% chance)","{0}: {1} ({2}% шанс)"
"CRITICAL","Critical","Критичний"
"MELEE","Melee","Ближній"
"RANGED","Ranged","Дальній"
"TIER_I","I","I"
"TIER_II","II","II"
"TIER_III","III","III"
"TIER_IV","IV","IV"
"STAT_MAX_HP","Max HP","Макс. ОЗ"
"STAT_DAMAGE","Damage","Шкоди"
"STAT_CRIT_CHANCE","% Crit Chance","% Шанс крита"
"STAT_LUCK","Luck","Удачі"
"STAT_CRIT_DAMAGE","% Crit Damage","% Шкоди крита"
"STAT_ELEMENTAL_DAMAGE","Elemental Damage","Стихійної шкоди"
"STAT_ARMOR","Armor","Броні"
"STAT_HP_REGENERATION","HP Regeneration","Регенерації ОЗ"
"STAT_LIFESTEAL","% Life Steal","% Вампіризму"
"STAT_MELEE_DAMAGE","Melee Damage","Ближньої шкоди"
"STAT_PERCENT_DAMAGE","% Damage","% Шкоди"
"STAT_DODGE","% Dodge","% Ухиляння"
"STAT_ENGINEERING","Engineering","Інженерії"
"STAT_RANGE","Range","Дальності"
"STAT_RANGED_DAMAGE","Ranged Damage","Дальньої шкоди"
"STAT_SPEED","% Speed","% Швидкості"
"STAT_ACCURACY","% Accuracy","% Точності"
"STAT_ATTACK_SPEED","% Attack Speed","% Швидкості атаки"
"STAT_HARVESTING","Harvesting","Жниварства"
"ACCURACY","Accuracy","Точності"
"WEAPON_SLOT","Weapon Slot","Комірка для зброї"
"XP_GAIN","% XP Gain","% Приріст досвіду"
"ITEMS_PRICE","% Items Price","% Вартості предметів"
"MAP_SIZE","Map Size","Розміру мапи"
"MENU_ENEMY_SPEED","Enemy speed","Швидкість ворогів"
"MENU_ENEMY_HEALTH","Enemy health","Здоров'я ворогів"
"MENU_ENEMY_DAMAGE","Enemy damage","Шкода ворогів"
"NUMBER_OF_ENEMIES","Enemies","Ворогів"
"PIERCING","Piercing","Проникання"
"PIERCING_DAMAGE","% Piercing Damage","% Пробиваючої шкоди"
"BOUNCE","Bounces","Рикошетів"
"BOUNCE_DAMAGE","% Bounce Damage","% Шкоди рикошетів"
"EXPLOSION_DAMAGE","% Explosion Damage","% Шкоди вибухів"
"EXPLOSION_SIZE","% Explosion Size","% Радіусу вибухів"
"DODGE","Dodge","Ухиляння"
"KNOCKBACK","Knockback","Відкидання"
"LIFESTEAL","Life Steal","Вампіризму"
"DAMAGE_SCALING","Affected by {0} of {1}","Під впливом {0} від {1}"
"INFO_POS_STAT_MAX_HP","You can take {0} damage before dying","Ви можете отримати {0} одиниць шкоди перед смертю"
"INFO_NEG_STAT_MAX_HP","You can take 1 damage before dying","Ви можете отримати 1 шкоду перед тим як померти"
"INFO_POS_STAT_DAMAGE","Your attacks deal {0} additional damage","Ваші атаки завдають на {0} більше шкоди"
"INFO_NEG_STAT_DAMAGE","Your attacks deal {0} less damage","Ваші атаки завдають на {0} менше шкоди"
"INFO_POS_STAT_CRIT_CHANCE","Your attacks have a {0} chance to deal more damage","Ваші атаки мають {0} шанс завдати більше шкоди"
